pond,year,larv_density,med_prey,large_prey,vert_pred,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,chlorophyll,turbidity,emergent_veg,conductivity,depth,dist_to_breed,suitable_598_split,suitable_598
Rush,2022,0,124,9.2,0,0,80,14,5.05,34,7.4,0.2,322.4,137.1,8,269.5,76,1554.84,886500,886500
Seascape 1,2022,0.050432277,40,2.75,0,0,2845,13.7,1.18,31.7,6.2,0,229.5,15,90,136.9,53,386.0542259,615600,734400
Seascape 2,2022,0.065406977,16,4.467213115,0,0.12295082,337,12.4,1.13,30.75,6.1,0,176.9,5.06,95,145.3,106,386.0542259,530100,662400
Seascape 3,2022,0.246478873,40,0.840163934,0,0,260,12.7,0.6,30.18,6.48,0,300.6,8.312,80,176.4,100,400.47,455400,910800
South Moro Cojo,2022,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,3.96,1281,7.22,0.7,407.8,9.25,80,1263,30,1240.835816,732600,899100
Suess,2022,0.15625,16,0.625,0,0,10056,10.9,2.24,27.03,6.88,0,213.4,12.75,40,155.1,15,208.6263557,648900,1007100
Swimming Pool,2022,0,48.888889,46.25,0,2.5,240,15.2,NA,NA,NA,3.4,263.6,25.14,60,NA,76,532.4821468,516600,602100
Tucker,2022,0,26,0.6,5.314285714,1.428571429,906,15.3,4.44,25.73,6.7,0,272.4,12.77,10,95.7,91,1889.03152,1097100,1120500
Upper Cattail,2022,0.071428571,0,41.14285714,0,0,12527.06897,19,1.87,17.84,7.5,0.2,935.9,53.97,3,359,143,125.4005816,396900,832500
Valencia,2022,0,25.85,2.364130435,0,0,578.1,12.6,0.38,65.23,6.57,0,474.6,7.684,80,144,76,1191.474501,37800,971100
Visitor Center,2022,0,0,43.11428571,0,0.114285714,6,18.7,8.56,21.26,10,0.2,153.4,1.753,3,414.7,30,434.2685445,692100,756000
Willow Canyon,2022,3.866666667,3,5.352380952,0,0.380952381,64,19.2,8.24,15.2,7.44,0,227.5,5.527,40,145.6,62,725.9154025,734400,739800
Zmudowski,2022,0,1,6,3.542857143,0,1684,16.1,1.78,11.59,7.27,0.5,214.2,3.853,45,909,137,6180.082151,305100,305100
Alexander,2023,0,8.3333333,19.21568627,0,0,200,15.1,0.1,27.8,6.85,0.1,207.4,2.035,12,242.5,228,661.170559,,
Buena Vista 1,2023,0,148.2,5.288461538,0,0.144230769,3188.2,18.8,4.8,18.04,6.85,0,209.3,28.98,10,123.2,237.7,509.3790289,1070100,1070100
Buena Vista 2,2023,0.069767442,21,9.553571429,0,0.089285714,1099,19.9,12.5,30.03,8.72,0,115.2,4.747,20,145.4,173.7,509.3790289,827100,992700
Calabasas,2023,0.095070423,0,13.70940171,0,0.102564103,1752,16.3,6.97,10.05,6.58,0,103.8,3.577,85,114.6,82,208.6263557,883800,1260000
Caltrans 1,2023,0,220,5.618181818,0.018181818,0.036363636,53560,17,NA,NA,NA,10,5229,72.3,NA,NA,30.48,,,
Caltrans 2,2023,0,NA,MISSING,MISSING,MISSING,NA,NA,NA,NA,NA,10,8764,96.7,NA,NA,30.48,,,
Caltrans 3,2023,0,NA,MISSING,MISSING,MISSING,NA,16.7,NA,NA,NA,10,4203,79.5,NA,NA,30.48,,,
Caltrans 4,2023,0,NA,MISSING,MISSING,MISSING,NA,16.1,NA,NA,NA,9,9733,45.46,NA,NA,30.48,,,
Caltrans 5,2023,0,18,15.24509804,0.049019608,0.098039216,31518,15.3,NA,NA,NA,1.6,1285,70.46,95,NA,NA,,,
Caltrans 6,2023,0,NA,6.274509804,0,0,NA,17.3,NA,NA,NA,3.8,942.9,23.47,45,NA,60.96,,,
Carneros 1,2023,0.133101852,0,11.82692308,0.192307692,0.432692308,66.66666667,15.7,3.15,15.88,7.37,0.4,162.4,8.194,98,609,152.4,133.7598071,544500,561600
Carneros 2,2023,0.022970904,0,21.80555556,0,0.555555556,48020,15.9,1.28,15.44,7.1,0.3,320.8,4.433,70,585,114.3,133.7598071,580500,597600
Cecil,2023,0,18.461538,13.67924528,0,0,3415.384615,18.5,6.73,116.09,7.35,0,493.6,158.1,2,168.9,60.96,1002.25,777600,777600
Central,2023,0,7.5,44.25,0,0.15,6337.5,18.5,6.82,20.21,7.12,0,3559,19.79,60,146.6,91.44,674.1725765,236700,310500
Corralitos,2023,0,40,8.355091384,0.026109661,0.182767624,1485,14.7,0.43,11.71,6.82,0.1,144.2,11.22,75,184.2,150,1465.269047,,
Delaney,2023,0.169721656,70.2,6.114285714,0,0.152380952,4125.6,15.7,2.74,29.02,6.34,0,353.3,44.12,60,95.6,110,389.0821453,974700,1012500
Ellicott,2023,0,19,12.26285714,0,0.011428571,1681.5,18,2.52,16.4,6.92,0.1,709.85,24.86,25,154.1,218,382.2162706,671400,840600
Hidden,2023,0,0,1.111111111,0,0.046296296,1080,15.3,1.1,56.79,6.97,0.1,186.2,4.399,85,236.5,152.4,1238.01,831600,831600
Hix,2023,0,18,12.5,0,0.384615385,1089,18.3,2.33,128.64,7.46,0.2,272.3,6.19,3,391.5,NA,654.0173365,243900,797400
Howell,2023,0,25,5.4,0,0,555,17.7,0.61,43.8,6.86,0.5,419.1,0.289,35,818,NA,710.2079222,197100,768600
Long Valley,2023,0,5,16.3,0,0.1,2715,19.6,7.66,98.44,7.7,0.3,213.6,5.755,40,494.4,76.2,745.4520426,574200,643500
Lower Cattail,2023,0.005399568,0,2.990196078,0,0.049019608,1760.714286,17.6,3.42,37.4,7.21,0.3,307.7,15.95,7,464.5,153,125.4005816,486000,615600
McClusky Slough,2023,0,0,0.666666667,0.083333333,0.083333333,15729,18.5,6.72,12.26,7.74,0.2,263.5,51.03,15,375.7,NA,5491.564664,495000,495000
Merk,2023,0,0,0.245098039,0,0.147058824,294.375,16.3,1.05,21.36,7.03,0,204.9,34.42,20,167.2,137.2,1523.332338,693000,750600
Millsap 1,2023,0,11,0.090909091,0.272727273,0.181818182,166,13,0.61,18,6.39,0.1,325.9,16.25,90,182.2,106.7,82.14877817,744300,1125000
Millsap 2,2023,0.251396648,8,8.333333333,0.601851852,0.138888889,496,20,5.55,44.15,7.55,0.2,245.7,41.85,8,327.9,112,82.14877817,688500,1113300
North County Parks,2023,0.055305203,19.2,13.89423077,0,0.048076923,11596.8,17.7,1.62,14.21,7.18,0.2,308.1,21.41,35,402.2,152,1240.835816,338400,338400
North Moro Cojo,2023,0,9,22.5862069,0.862068966,0.431034483,1944,22.5,NA,NA,NA,2.2,1147,3.913,85,NA,91.44,1542.156052,441900,441900
Oxbow,2023,0.005955926,5.5,1.057692308,0.048076923,0,0,12.9,0.7,22.45,7.44,0.3,332,62.44,90,455.8,121,127.3270341,732600,732600
Pond N,2023,0.888157895,0,5.87962963,0,0.277777778,54060,14.8,0.75,19.1,7.03,0.3,1248,50.61,35,462,137.2,122.3977912,675000,675000
Pond O,2023,0.316686967,0,1.939655172,0.086206897,0,28992,13.4,1.25,19.31,7.5,0.3,299.8,39.5,45,479.1,76.2,122.3977912,583200,588600
Pond R,2023,1.398305085,8.6666667,7.669491525,0.508474576,1.355932203,260,16.3,2.69,21.23,7.12,0.3,1953,15.54,20,482.2,121.9,137.1070221,650700,652500
Pond S,2023,1.41509434,2.9411765,7.783018868,0.283018868,0.70754717,275,16.1,2.46,21.13,7.26,0.3,465.5,9.197,65,528,106.7,137.1070221,579600,603900
Prospect,2023,0,94.5,51.2,0,1.885714286,5848.5,19,1.69,6.5,6.79,0,253.2,9.382,7,131,219,382.2162706,639900,882900
Racehorse,2023,0.304,12,16.45,0.25,0.3,3624,21.6,7.11,15.6,7.22,0.1,253,1.174,10,205.8,152.4,1046.59,1108800,1111500
Rush,2023,0,7.8,11.27192982,0,0.219298246,517.4,18.5,6.34,121.2,7.06,0.1,298.3,30.24,10,244.8,76.2,1554.84,886500,886500
Seascape 1,2023,0.222419929,27,4.5,0,0.153846154,277.5,13.1,0.37,26.22,6.03,0,244.9,52.64,85,123.8,106,386.0542259,615600,734400
Seascape 2,2023,0.348837209,65,0.9,0,0.2,290,13.3,0.5,12.22,6.33,0,176,8.763,99,134.5,90,386.0542259,530100,662400
Seascape 3,2023,0.083732057,26,8.1,0,0,247,13.4,1.44,14.01,6.71,0,247.2,10.9,96,164.7,125,400.47,455400,910800
Shadowmere,2023,0,20.833333,0,0.93373494,0.060240964,3279.166667,13.5,1.98,13.21,6.43,0,234.7,42.68,17,71.1,183,864.2583058,1081800,1081800
South Finger,2023,0,125,13.04545455,0,0.818181818,345,18.4,2.46,19.53,6.92,0.3,408.6,154.4,95,439.7,60.96,1152.37,,
South Moro Cojo,2023,0,192,2.85,0,0,3696,16.4,2.3,13.83,7.21,0.3,201.4,13.58,65,461.7,76.2,1240.835816,732600,899100
