pond_year,body_condition,larv_density,med_prey,large_prey,vert_pred,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,chlorophyll,turbidity,emergent_veg,conductivity,depth,dist_to_breed,suitable_598_split,suitable_598
Pond S_2023,-0.05650143429984372,1.41509434,2.9411765,7.783018868,0.283018868,0.70754717,275,16.1,2.46,21.13,7.26,0.3,465.5,9.197,65,528,106.7,137.1070221,579600,603900
Pond S_2024,-0.0941055450246699,0.310650888,1,17.74193548,9.435483871,0,17,15.4,7.07,14.32,6.93,0.3,1271,24.14,60,634,104.14,137.1070221,579600,603900
Prospect_2021,-0.10712201633213309,2.728571429,5,10.27142857,0.1,0.014285714,561,24.4,13.5,9.51,8.06,0.2,1481,31.44,15,466,40,382.2162706,639900,882900
Prospect_2022,0.03234214591750465,3.028571429,0,42.38571429,0.028571429,0.257142857,3186,21.3,4.11,14.02,7.22,0.2,724.9,8.742,40,336,70,382.2162706,639900,882900
Prospect_2024,0.21259779220954234,0.070082165,38.5,33.1557377,0,0.614754098,13366.5,19.2,2,207.6,6.89,0,283.1,8.121,30,166.3,158.496,382.2162706,639900,882900
Racehorse_2023,0.13937127267719487,0.304,12,16.45,0.25,0.3,3624,21.6,7.11,15.6,7.22,0.1,253,1.174,10,205.8,152.4,1046.59,1108800,1111500
Racehorse_2024,-0.08959694261485478,0.062466051,31.818182,6.634615385,0.096153846,0.096153846,909.0909091,17.6,0.8,9.04,6.53,0,109.3,4.266,10,179.2,152.4,1046.59,1108800,1111500
Seascape 1_2021,-0.08771682098762713,0.173267327,0,7.236842105,0,1.842105263,448.5714286,18.4,35,12.03,6.64,0,212.2,2.776,90,137.7,65,386.0542259,615600,734400
Seascape 1_2022,0.02256239047107012,0.050432277,40,2.75,0,0,2845,13.7,1.18,31.7,6.2,0,229.5,15,90,136.9,53,386.0542259,615600,734400
Seascape 1_2023,0.2633817324209517,0.222419929,27,4.5,0,0.153846154,277.5,13.1,0.37,26.22,6.03,0,244.9,52.64,85,123.8,106,386.0542259,615600,734400
Seascape 2_2021,0.11121991804166326,0.033783784,26.315789,0.37037037,0,0.694444444,310.5263158,12.3,1.27,4.54,7.34,0,139.8,2.918,95,142.4,60,386.0542259,530100,662400
Seascape 2_2022,-0.07166445595842831,0.065406977,16,4.467213115,0,0.12295082,337,12.4,1.13,30.75,6.1,0,176.9,5.06,95,145.3,106,386.0542259,530100,662400
Seascape 2_2023,-0.0028434890206924866,0.348837209,65,0.9,0,0.2,290,13.3,0.5,12.22,6.33,0,176,8.763,99,134.5,90,386.0542259,530100,662400
Seascape 2_2024,-0.1953879073721994,0.08203125,54.75,2.95,0,0.5,1083,13.3,2.22,8.41,6.08,0,204.7,9.389,90,155.9,152.4,386.0542259,530100,662400
Seascape 3_2021,-0.18075803028356605,0.853658537,2.7777778,4.0625,0,0.703125,19.44444444,12.9,0.8,3.12,7.72,0.1,165.5,17.11,80,218.2,75,400.47,455400,910800
Seascape 3_2022,0.05018614437976937,0.246478873,40,0.840163934,0,0,260,12.7,0.6,30.18,6.48,0,300.6,8.312,80,176.4,100,400.47,455400,910800
Seascape 3_2023,-0.32204199643333803,0.083732057,26,8.1,0,0,247,13.4,1.44,14.01,6.71,0,247.2,10.9,96,164.7,125,400.47,455400,910800
Seascape 3_2024,-0.02099703654756665,0.27,47.666667,16.06481481,0,0.231481482,316.3333333,14.3,2.24,9.36,6.39,0,182.7,10.11,35,200.2,137.16,400.47,455400,910800
South Moro Cojo_2021,-0.04377167469459989,0.032653061,0,31.42857143,0,0.171428571,523.9411765,25.6,7.6,10.56,7.12,0.9,948.9,12.52,60,2377,39,1240.835816,732600,899100
South Moro Cojo_2022,-0.06995776123791972,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,3.96,1281,7.22,0.7,407.8,9.25,80,1263,30,1240.835816,732600,899100
Suess_2022,0.0318553044767182,0.15625,16,0.625,0,0,10056,10.9,2.24,27.03,6.88,0,213.4,12.75,40,155.1,15,208.6263557,648900,1007100
Suess_2023,0.09353096989754207,0.406626506,54,2.136363636,0,0.090909091,9171,16.7,0.74,10.08,6.93,0,141.3,13.86,85,148.4,76.2,208.6263557,648900,1007100
Tucker_2023,0.10527241434858747,0.132517839,0,1.886792453,0.235849057,1.698113208,402.5,16.6,7.99,27.18,6.91,0,301.2,21.62,10,96,137.2,1889.03152,1097100,1120500
Upper Cattail_2022,-0.2825946624188261,0.071428571,0,41.14285714,0,0,12527.06897,19,1.87,17.84,7.5,0.2,935.9,53.97,3,359,143,125.4005816,396900,832500
Upper Cattail_2023,0.017923989637556245,0.071580064,24.545,3.55,0,0.1,4626.818,14.4,1.8,51.2,7.11,0.2,273.1,2.818,70,255,152.4,125.4005816,396900,832500
Upper Cattail_2024,0.06527000685251028,0.05599711,180,9.545454545,0,0.136363636,936,13.9,0.1,40.02,6.63,0.2,293.7,4.997,50,263.2,152.4,125.4005816,396900,832500
Valencia_2021,0.07088920045343053,0.762711864,31.531532,5.818181818,0,0,1126.126126,12.7,0.88,36.53,8.07,0,314.1,2.15,50,151.3,40,1191.474501,37800,971100
Valencia_2023,0.11577417803173393,0.165447025,67.5,6.473282443,0,0.061068702,4002.75,13.3,2.32,35.9,6.99,0.1,210.5,1.251,90,174.6,152.4,1191.474501,37800,971100
Willow Canyon_2021,-0.3303735044800738,3.1,4,2.771428571,0,0,1128,16.8,6.41,10.02,7.39,0.1,450.7,65.08,25,172.8,60,725.9154025,734400,739800
Willow Canyon_2022,-0.10360858081350172,3.866666667,3,5.352380952,0,0.380952381,64,19.2,8.24,15.2,7.44,0,227.5,5.527,40,145.6,62,725.9154025,734400,739800
Willow Canyon_2024,-0.06430809873089667,0.139891697,17.333333,8.8,0,2,1287,19.6,4.9,23.71,6.88,0,160.3,15.41,25,163,131.064,725.9154025,734400,739800
